date,theme_attraction,theme_coastal_resort,theme_destination,source_keyword_count,theme_attraction_lag_1,theme_attraction_lag_2,theme_attraction_lag_3,theme_attraction_lag_7,theme_coastal_resort_lag_1,theme_coastal_resort_lag_2,theme_coastal_resort_lag_3,theme_coastal_resort_lag_7,theme_destination_lag_1,theme_destination_lag_2,theme_destination_lag_3,theme_destination_lag_7
2025-09-25,-0.05501577483988315,-0.30890326732604917,0.07192823706944171,10,-0.40894608832335844,-0.06016888904658167,0.06929456958072687,0.03058623574164054,-0.41447769636662996,-0.1342117660358795,-0.0924377113795346,-0.1425665769671485,0.028803437221936255,0.27325894639425446,0.24425294149306281,0.13285703285924438
2025-09-26,-0.05520226883936991,-0.16155478362912346,0.14934849752136264,10,-0.05501577483988315,-0.40894608832335844,-0.06016888904658167,-0.48016561987142736,-0.30890326732604917,-0.41447769636662996,-0.1342117660358795,-0.21927893188152733,0.07192823706944171,0.028803437221936255,0.27325894639425446,0.0922471580175149
2025-09-27,-1.7812340758793337,-0.4828352403497398,-0.21335066396139846,10,-0.05520226883936991,-0.05501577483988315,-0.40894608832335844,-0.8860063805350189,-0.16155478362912346,-0.30890326732604917,-0.41447769636662996,-0.4418207139598739,0.14934849752136264,0.07192823706944171,0.028803437221936255,-0.16607363253594914
2025-09-28,0.02211350985081281,-0.18282157509053543,0.13114036861790462,10,-1.7812340758793337,-0.05520226883936991,-0.05501577483988315,0.1558736164557304,-0.4828352403497398,-0.16155478362912346,-0.30890326732604917,-0.5018234470117148,-0.21335066396139846,0.14934849752136264,0.07192823706944171,-0.23514343445975044
2025-09-29,-0.41173383090313675,-0.22155751668096432,0.21052282861203872,10,0.02211350985081281,-1.7812340758793337,-0.05520226883936991,0.06929456958072687,-0.18282157509053543,-0.4828352403497398,-0.16155478362912346,-0.0924377113795346,0.13114036861790462,-0.21335066396139846,0.14934849752136264,0.24425294149306281
2025-09-30,-0.11313679283957558,-0.20180978175251038,0.3933164918982024,10,-0.41173383090313675,0.02211350985081281,-1.7812340758793337,-0.06016888904658167,-0.22155751668096432,-0.18282157509053543,-0.4828352403497398,-0.1342117660358795,0.21052282861203872,0.13114036861790462,-0.21335066396139846,0.27325894639425446
2025-10-01,-0.5036480923292277,-0.371944113443806,0.6669793067523011,10,-0.11313679283957558,-0.41173383090313675,0.02211350985081281,-0.40894608832335844,-0.20180978175251038,-0.22155751668096432,-0.18282157509053543,-0.41447769636662996,0.3933164918982024,0.21052282861203872,0.13114036861790462,0.028803437221936255
2025-10-02,0.1263894312338025,-0.20940506441730036,0.7303473416825171,10,-0.5036480923292277,-0.11313679283957558,-0.41173383090313675,-0.05501577483988315,-0.371944113443806,-0.20180978175251038,-0.22155751668096432,-0.30890326732604917,0.6669793067523011,0.3933164918982024,0.21052282861203872,0.07192823706944171
2025-10-03,0.641472378631738,0.25694529120080467,0.7271398671707845,10,0.1263894312338025,-0.5036480923292277,-0.11313679283957558,-0.05520226883936991,-0.20940506441730036,-0.371944113443806,-0.20180978175251038,-0.16155478362912346,0.7303473416825171,0.6669793067523011,0.3933164918982024,0.14934849752136264
2025-10-04,0.3700809342512801,0.5349326367321181,0.46014528954325895,10,0.641472378631738,0.1263894312338025,-0.5036480923292277,-1.7812340758793337,0.25694529120080467,-0.20940506441730036,-0.371944113443806,-0.4828352403497398,0.7271398671707845,0.7303473416825171,0.6669793067523011,-0.21335066396139846
